date,scores,date
2017-06-11,"-0,296",2017-06-11
2017-06-12,"-0,3282999999999999",2017-06-12
2017-06-13,"0,8271",2017-06-13
2017-06-14,"-0,592",2017-06-14
2017-06-15,"0,0",2017-06-15
2017-06-16,"0,8327",2017-06-16
2017-06-17,"0,7027",2017-06-17
2017-06-18,"-0,296",2017-06-18
2017-06-19,"-0,4466",2017-06-19
2017-06-20,"-0,592",2017-06-20
2017-06-21,"-0,296",2017-06-21
2017-06-22,"-0,592",2017-06-22
2017-06-23,"0,8153",2017-06-23
2017-06-24,"1,5163",2017-06-24
2017-06-25,"-0,11809999999999998",2017-06-25
2017-06-27,"-0,3690000000000001",2017-06-27
2017-06-28,"0,0",2017-06-28
2017-06-29,"0,0",2017-06-29
2017-06-30,"0,1779",2017-06-30
2017-07-01,"-1,228",2017-07-01
2017-07-02,"-0,592",2017-07-02
2017-07-03,"0,31640000000000007",2017-07-03
2017-07-04,"0,0",2017-07-04
2017-07-05,"0,0",2017-07-05
2017-07-06,"-0,296",2017-07-06
2017-07-07,"-0,8069",2017-07-07
2017-07-08,"-0,296",2017-07-08
2017-07-09,"-0,296",2017-07-09
2017-07-11,"-0,296",2017-07-11
2017-07-12,"0,0",2017-07-12
2017-07-13,"-0,4184",2017-07-13
2017-07-14,"0,0",2017-07-14
2017-07-15,"0,0",2017-07-15
2017-07-16,"-1,5719",2017-07-16
2017-07-17,"0,5994",2017-07-17
2017-07-18,"-0,6679",2017-07-18
2017-07-19,"-0,592",2017-07-19
2017-07-20,"-0,8533999999999999",2017-07-20
2017-07-21,"0,024600000000000066",2017-07-21
2017-07-22,"-1,0067",2017-07-22
2017-07-23,"-1,4501",2017-07-23
2017-07-24,"0,0",2017-07-24
2017-07-25,"0,0",2017-07-25
2017-07-26,"1,1335000000000002",2017-07-26
2017-07-27,"-0,592",2017-07-27
2017-07-28,"-1,6353",2017-07-28
2017-07-29,"0,10920000000000002",2017-07-29
2017-07-30,"0,0",2017-07-30
2017-07-31,"0,0",2017-07-31
2017-08-01,"-0,045999999999999985",2017-08-01
2017-08-02,"-0,4088",2017-08-02
2017-08-03,"0,7044",2017-08-03
2017-08-04,"0,5267",2017-08-04
2017-08-05,"0,0",2017-08-05
2017-08-06,"0,0",2017-08-06
2017-08-07,"0,0",2017-08-07
2017-08-08,"-0,296",2017-08-08
2017-08-09,"-0,25",2017-08-09
2017-08-10,"0,4215",2017-08-10
2017-08-11,"0,34439999999999993",2017-08-11
2017-08-12,"-0,296",2017-08-12
2017-08-13,"-0,5267",2017-08-13
2017-08-14,"0,3167",2017-08-14
2017-08-15,"0,4767",2017-08-15
2017-08-16,"-1,1187",2017-08-16
2017-08-17,"-0,296",2017-08-17
2017-08-18,"0,04400000000000004",2017-08-18
2017-08-19,"-0,5267",2017-08-19
2017-08-20,"-0,4662",2017-08-20
2017-08-21,"0,42830000000000007",2017-08-21
2017-08-22,"0,07170000000000004",2017-08-22
2017-08-23,"-0,424",2017-08-23
2017-08-24,"0,0516",2017-08-24
2017-08-25,"-0,03849999999999992",2017-08-25
2017-08-26,"0,34",2017-08-26
2017-08-27,"-0,2702",2017-08-27
2017-08-28,"0,015000000000000013",2017-08-28
2017-08-29,"0,0",2017-08-29
2017-08-30,"0,34",2017-08-30
2017-08-31,"-0,8585",2017-08-31
2017-09-01,"-0,5404",2017-09-01
2017-09-02,"-2,0028",2017-09-02
2017-09-03,"-0,5707",2017-09-03
2017-09-04,"0,0",2017-09-04
2017-09-05,"0,0",2017-09-05
2017-09-06,"0,0",2017-09-06
2017-09-07,"0,9259",2017-09-07
2017-09-08,"0,0",2017-09-08
2017-09-09,"0,04400000000000004",2017-09-09
2017-09-10,"-0,9664999999999999",2017-09-10
2017-09-11,"-0,9656",2017-09-11
2017-09-12,"-1,3104999999999998",2017-09-12
2017-09-13,"0,0",2017-09-13
2017-09-14,"-0,3736",2017-09-14
2017-09-15,"0,765",2017-09-15
2017-09-16,"-0,4019",2017-09-16
2017-09-17,"0,4648",2017-09-17
2017-09-18,"-0,3302",2017-09-18
2017-09-19,"0,24639999999999995",2017-09-19
2017-09-20,"-0,8534",2017-09-20
2017-09-21,"-0,4724",2017-09-21
2017-09-22,"0,0",2017-09-22
2017-09-23,"-0,296",2017-09-23
2017-09-24,"0,0",2017-09-24
2017-09-25,"-2,0355",2017-09-25
2017-09-26,"-0,296",2017-09-26
2017-09-27,"-1,1494",2017-09-27
2017-09-28,"-0,5179",2017-09-28
2017-09-29,"-0,7143999999999999",2017-09-29
2017-09-30,"-0,296",2017-09-30
2017-10-01,"0,0",2017-10-01
2017-10-02,"-0,15289999999999992",2017-10-02
2017-10-03,"0,9795999999999999",2017-10-03
2017-10-04,"-0,18669999999999992",2017-10-04
2017-10-05,"0,4317",2017-10-05
2017-10-06,"-0,296",2017-10-06
2017-10-07,"0,0",2017-10-07
2017-10-08,"0,0516",2017-10-08
2017-10-09,"-0,3784999999999999",2017-10-09
2017-10-10,"-1,6804999999999999",2017-10-10
2017-10-11,"0,0",2017-10-11
2017-10-12,"-0,296",2017-10-12
2017-10-13,"0,6981",2017-10-13
2017-10-14,"-1,7106999999999999",2017-10-14
2017-10-15,"0,0",2017-10-15
2017-10-16,"0,1255",2017-10-16
2017-10-17,"0,8622000000000001",2017-10-17
2017-10-18,"-0,5874",2017-10-18
2017-10-19,"-0,08400000000000007",2017-10-19
2017-10-20,"-1,1658",2017-10-20
2017-10-21,"0,004800000000000047",2017-10-21
2017-10-22,"0,9621999999999999",2017-10-22
2017-10-23,"-0,24439999999999998",2017-10-23
2017-10-24,"-1,2692999999999999",2017-10-24
2017-10-25,"0,0",2017-10-25
2017-10-26,"-0,8533999999999999",2017-10-26
2017-10-27,"-0,19379999999999992",2017-10-27
2017-10-28,"0,0",2017-10-28
2017-10-29,"-0,4184",2017-10-29
2017-10-30,"-0,40169999999999995",2017-10-30
2017-10-31,"0,0",2017-10-31
2017-11-01,"-0,4184",2017-11-01
2017-11-02,"-0,5798",2017-11-02
2017-11-03,"-0,7003",2017-11-03
2017-11-04,"-1,3258",2017-11-04
2017-11-06,"0,0",2017-11-06
2017-11-07,"-0,13319999999999999",2017-11-07
2017-11-08,"-0,8861999999999999",2017-11-08
2017-11-09,"-0,09860000000000002",2017-11-09
2017-11-10,"-0,296",2017-11-10
2017-11-11,"0,012000000000000066",2017-11-11
2017-11-12,"0,0",2017-11-12
2017-11-13,"0,0",2017-11-13
2017-11-14,"0,34",2017-11-14
