date,scores,date
2017-01-01,"-0,6046",2017-01-01
2017-01-02,"0,36140000000000005",2017-01-02
2017-01-03,"0,0",2017-01-03
2017-01-04,"0,296",2017-01-04
2017-01-05,"1,117",2017-01-05
2017-01-06,"-0,296",2017-01-06
2017-01-07,"-0,24439999999999998",2017-01-07
2017-01-08,"0,6124",2017-01-08
2017-01-09,"0,34",2017-01-09
2017-01-10,"-0,9139999999999999",2017-01-10
2017-01-11,"-0,6696",2017-01-11
2017-01-12,"-0,013299999999999867",2017-01-12
2017-01-13,"-0,296",2017-01-13
2017-01-14,"0,04400000000000004",2017-01-14
2017-01-15,"0,0",2017-01-15
2017-01-16,"-0,296",2017-01-16
2017-01-17,"-0,24609999999999999",2017-01-17
2017-01-18,"0,1864",2017-01-18
2017-01-19,"-0,296",2017-01-19
2017-01-20,"0,3818",2017-01-20
2017-01-21,"-0,37629999999999997",2017-01-21
2017-01-22,"0,0",2017-01-22
2017-01-23,"0,3612",2017-01-23
2017-01-24,"0,32060000000000005",2017-01-24
2017-01-25,"-0,5902",2017-01-25
2017-01-26,"-0,8254000000000001",2017-01-26
2017-01-27,"0,0",2017-01-27
2017-01-28,"-1,2128999999999999",2017-01-28
2017-01-29,"0,25",2017-01-29
2017-01-30,"-0,12479999999999997",2017-01-30
2017-01-31,"1,597",2017-01-31
2017-02-01,"0,0",2017-02-01
2017-02-02,"0,5106",2017-02-02
2017-02-03,"0,0",2017-02-03
2017-02-04,"0,0",2017-02-04
2017-02-05,"-0,296",2017-02-05
2017-02-06,"0,06520000000000004",2017-02-06
2017-02-07,"1,229",2017-02-07
2017-02-08,"0,0",2017-02-08
2017-02-09,"0,4767",2017-02-09
2017-02-10,"0,04400000000000004",2017-02-10
2017-02-11,"-0,47509999999999997",2017-02-11
2017-02-12,"0,0",2017-02-12
2017-02-13,"0,1506",2017-02-13
2017-02-14,"-1,3940000000000001",2017-02-14
2017-02-15,"0,0",2017-02-15
2017-02-16,"-0,296",2017-02-16
2017-02-17,"0,9524000000000001",2017-02-17
2017-02-18,"0,0",2017-02-18
2017-02-19,"0,0",2017-02-19
2017-02-20,"0,27130000000000004",2017-02-20
2017-02-21,"0,25",2017-02-21
2017-02-22,"0,4019",2017-02-22
2017-02-23,"0,1059",2017-02-23
2017-02-24,"-1,1970999999999998",2017-02-24
2017-02-25,"0,0",2017-02-25
2017-02-26,"-0,635",2017-02-26
2017-02-27,"-0,019499999999999962",2017-02-27
2017-02-28,"-0,2106",2017-02-28
2017-03-01,"0,024",2017-03-01
2017-03-02,"0,09320000000000006",2017-03-02
2017-03-03,"-0,592",2017-03-03
2017-03-04,"0,0",2017-03-04
2017-03-05,"-0,296",2017-03-05
2017-03-06,"0,21070000000000005",2017-03-06
2017-03-07,"-0,4964999999999999",2017-03-07
2017-03-08,"-0,10419999999999996",2017-03-08
2017-03-09,"0,0",2017-03-09
2017-03-10,"0,0",2017-03-10
2017-03-11,"0,34",2017-03-11
2017-03-12,"0,0",2017-03-12
2017-03-13,"-0,3736",2017-03-13
2017-03-14,"-0,296",2017-03-14
2017-03-15,"0,6124",2017-03-15
2017-03-16,"0,34",2017-03-16
2017-03-17,"-0,592",2017-03-17
2017-03-18,"-0,296",2017-03-18
2017-03-19,"-0,296",2017-03-19
2017-03-20,"-0,592",2017-03-20
2017-03-21,"-0,5430999999999999",2017-03-21
2017-03-22,"-0,012399999999999967",2017-03-22
2017-03-23,"-0,9572",2017-03-23
2017-03-24,"0,0",2017-03-24
2017-03-25,"0,0",2017-03-25
2017-03-26,"0,0",2017-03-26
2017-03-27,"0,5859",2017-03-27
2017-03-28,"-0,296",2017-03-28
2017-03-29,"0,0",2017-03-29
2017-03-30,"0,34",2017-03-30
2017-03-31,"-0,6734",2017-03-31
2017-04-01,"0,0",2017-04-01
2017-04-02,"-0,296",2017-04-02
2017-04-03,"-0,41589999999999994",2017-04-03
2017-04-04,"-0,7684",2017-04-04
2017-04-05,"0,0",2017-04-05
2017-04-06,"-0,296",2017-04-06
2017-04-07,"-0,592",2017-04-07
2017-04-08,"-0,25199999999999995",2017-04-08
2017-04-10,"0,0",2017-04-10
2017-04-11,"0,0",2017-04-11
