date,scores,date
2017-01-02,"-1,1148",2017-01-02
2017-01-03,"-0,296",2017-01-03
2017-01-04,"-0,8504",2017-01-04
2017-01-05,"0,9155000000000001",2017-01-05
2017-01-06,"0,0",2017-01-06
2017-01-07,"-0,592",2017-01-07
2017-01-08,"0,0",2017-01-08
2017-01-09,"0,0",2017-01-09
2017-01-10,"0,0",2017-01-10
2017-01-11,"-1,6683",2017-01-11
2017-01-12,"-0,8227",2017-01-12
2017-01-13,"-0,016099999999999892",2017-01-13
2017-01-14,"-0,8533999999999999",2017-01-14
2017-01-15,"-0,592",2017-01-15
2017-01-16,"1,0362",2017-01-16
2017-01-18,"0,7964",2017-01-18
2017-01-19,"0,0",2017-01-19
2017-01-20,"0,3818",2017-01-20
2017-01-21,"0,5859",2017-01-21
2017-01-22,"0,0",2017-01-22
2017-01-23,"-0,4184",2017-01-23
2017-01-24,"-0,3639",2017-01-24
2017-01-25,"-0,4775999999999999",2017-01-25
2017-01-26,"0,04400000000000004",2017-01-26
2017-01-27,"-0,592",2017-01-27
2017-01-28,"0,0",2017-01-28
2017-01-29,"0,0",2017-01-29
2017-01-30,"0,02849999999999997",2017-01-30
2017-01-31,"-1,4146999999999998",2017-01-31
2017-02-01,"0,2566",2017-02-01
2017-02-02,"0,0",2017-02-02
2017-02-03,"0,0",2017-02-03
2017-02-04,"0,0",2017-02-04
2017-02-05,"0,0",2017-02-05
2017-02-06,"0,0",2017-02-06
2017-02-07,"0,4939",2017-02-07
2017-02-08,"0,30340000000000006",2017-02-08
2017-02-09,"0,0",2017-02-09
2017-02-10,"0,0",2017-02-10
2017-02-11,"-1,224",2017-02-11
2017-02-12,"-2,7708",2017-02-12
2017-02-13,"0,0",2017-02-13
2017-02-14,"-0,296",2017-02-14
2017-02-15,"0,0",2017-02-15
2017-02-16,"0,0",2017-02-16
2017-02-17,"-0,296",2017-02-17
2017-02-18,"0,0",2017-02-18
2017-02-19,"0,0",2017-02-19
2017-02-20,"0,0",2017-02-20
2017-02-21,"-0,296",2017-02-21
2017-02-22,"0,4019",2017-02-22
2017-02-23,"0,5859",2017-02-23
